"","Id","LotArea","Street","OverallQual","RoofStyle","Foundation","Heating","CentralAir","GrLivArea","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","GarageCars","GarageArea","PoolArea","SalePrice","SqFootage"
"20",20,7560,"Pave",5,"Hip","CBlock","GasA","Y",1339,1,0,3,1,"TA",6,0,1,294,0,139000,1339
"21",21,14215,"Pave",8,"Gable","PConc","GasA","Y",2376,3,1,4,1,"Gd",9,1,3,853,0,325300,1158
"22",22,7449,"Pave",7,"Gable","PConc","GasA","Y",1108,1,0,3,1,"Gd",6,1,1,280,0,139400,1108
"23",23,9742,"Pave",8,"Hip","PConc","GasA","Y",1795,2,0,3,1,"Gd",7,1,2,534,0,230000,1795
"26",26,14230,"Pave",8,"Gable","PConc","GasA","Y",1600,2,0,3,1,"Gd",7,1,3,890,0,256300,1600
"27",27,7200,"Pave",5,"Gable","CBlock","GasA","Y",900,1,0,3,1,"Gd",5,0,2,576,0,134800,900
"28",28,11478,"Pave",8,"Gable","PConc","GasA","Y",1704,2,0,3,1,"Gd",7,1,3,772,0,306000,1704
"29",29,16321,"Pave",5,"Gable","CBlock","GasA","Y",1600,1,0,2,1,"TA",6,2,1,319,0,207500,1600
"31",31,8500,"Pave",4,"Gambrel","BrkTil","GasA","N",1317,1,0,3,1,"TA",6,0,1,250,0,40000,649
"32",32,8544,"Pave",5,"Gable","CBlock","GasA","Y",1228,1,1,3,1,"Gd",6,0,1,271,0,149350,1228
"33",33,11049,"Pave",8,"Gable","PConc","GasA","Y",1234,2,0,3,1,"Gd",7,0,2,484,0,179900,1234
"34",34,10552,"Pave",5,"Hip","CBlock","GasA","Y",1700,1,1,4,1,"Gd",6,1,2,447,0,165500,1700
"35",35,7313,"Pave",9,"Hip","PConc","GasA","Y",1561,2,0,2,1,"Ex",6,1,2,556,0,277500,1561
"36",36,13418,"Pave",8,"Gable","PConc","GasA","Y",2452,3,1,4,1,"Gd",9,1,3,691,0,309000,1132
"37",37,10859,"Pave",5,"Gable","PConc","GasA","Y",1097,1,1,3,1,"TA",6,0,2,672,0,145000,1097
"38",38,8532,"Pave",5,"Hip","CBlock","GasA","Y",1297,1,0,3,1,"TA",5,1,2,498,0,153000,1297
"39",39,7922,"Pave",5,"Gable","CBlock","GasA","Y",1057,1,0,3,1,"Gd",5,0,1,246,0,109000,1057
"41",41,8658,"Pave",6,"Gable","CBlock","GasA","Y",1324,2,0,3,1,"TA",6,1,2,440,0,160000,1324
"42",42,16905,"Pave",5,"Gable","CBlock","GasA","Y",1328,1,1,2,1,"TA",5,2,1,308,0,170000,1328
"43",43,9180,"Pave",5,"Gable","CBlock","GasA","Y",884,1,0,2,1,"Gd",5,0,2,504,0,144000,884
"44",44,9200,"Pave",5,"Hip","CBlock","GasA","Y",938,1,0,3,1,"TA",5,0,1,308,0,130250,938
"46",46,7658,"Pave",9,"Hip","PConc","GasA","Y",1752,2,0,2,1,"Ex",6,1,2,576,0,319900,1752
"47",47,12822,"Pave",7,"Gable","PConc","GasA","Y",2149,1,1,1,1,"Gd",6,1,2,670,0,239686,1518
"48",48,11096,"Pave",8,"Gable","PConc","GasA","Y",1656,2,0,3,1,"Gd",7,0,3,826,0,249700,1656
"50",50,7742,"Pave",5,"Gable","CBlock","GasA","Y",955,1,0,3,1,"TA",6,0,1,386,0,127000,955
"51",51,13869,"Pave",6,"Gable","PConc","GasA","Y",1470,2,0,3,1,"TA",6,0,2,388,0,177000,794
"52",52,6240,"Pave",6,"Gable","PConc","GasA","Y",1176,1,0,3,1,"TA",6,1,2,528,0,114500,816
"54",54,50271,"Pave",9,"Gable","CBlock","GasA","Y",1842,0,1,0,1,"Gd",5,1,3,894,0,385000,1842
"55",55,7134,"Pave",5,"Gable","CBlock","GasA","Y",1360,1,0,3,1,"TA",6,1,2,572,0,130000,1360
"57",57,2645,"Pave",8,"Gable","PConc","GasA","Y",1739,2,1,3,1,"Gd",7,0,2,480,0,172500,983
"58",58,11645,"Pave",7,"Gable","PConc","GasA","Y",1720,2,1,3,1,"Gd",7,0,2,565,0,196500,860
"59",59,13682,"Pave",10,"Hip","PConc","GasA","Y",2945,3,1,3,1,"Gd",10,1,3,641,0,438780,1426
"60",60,7200,"Pave",5,"Gable","CBlock","GasA","Y",780,1,0,2,1,"TA",4,0,1,352,0,124900,780
"61",61,13072,"Pave",6,"Gable","PConc","GasA","Y",1158,1,1,3,1,"Gd",5,0,2,576,0,158000,1158
"62",62,7200,"Pave",5,"Gable","BrkTil","GasA","N",1111,1,0,3,1,"Fa",6,0,1,288,0,101000,581
"63",63,6442,"Pave",8,"Gable","PConc","GasA","Y",1370,2,0,2,1,"Gd",6,1,2,484,0,202500,1370
"64",64,10300,"Pave",7,"Gable","BrkTil","GasA","Y",1710,2,0,3,1,"TA",9,0,2,480,0,140000,902
"65",65,9375,"Pave",7,"Gable","PConc","GasA","Y",2034,2,1,3,1,"Gd",8,0,2,645,0,219500,1057
"66",66,9591,"Pave",8,"Gable","PConc","GasA","Y",2473,2,1,4,1,"Gd",9,1,3,852,0,317000,1143
"67",67,19900,"Pave",7,"Gable","CBlock","GasA","Y",2207,2,0,3,1,"TA",7,1,2,576,0,180000,2207
"68",68,10665,"Pave",7,"Gable","PConc","GasA","Y",1479,2,0,3,1,"Gd",7,0,2,558,0,226000,1479
"69",69,4608,"Pave",4,"Gable","CBlock","GasA","Y",747,1,0,2,1,"TA",4,0,1,220,0,80000,747
"70",70,15593,"Pave",7,"Gable","CBlock","GasW","Y",2287,2,0,3,1,"TA",7,1,2,667,0,225000,1304
"71",71,13651,"Pave",7,"Gable","CBlock","GasA","Y",2223,2,0,3,1,"TA",8,2,2,516,0,244000,2223
"72",72,7599,"Pave",4,"Gable","CBlock","GasA","Y",845,1,0,2,1,"TA",4,0,2,360,0,129500,845
"74",74,10200,"Pave",5,"Gable","CBlock","GasA","Y",1086,1,0,3,1,"TA",6,0,2,490,0,144900,1086
"75",75,5790,"Pave",3,"Gambrel","CBlock","GasA","N",1605,2,0,3,2,"TA",8,0,1,379,0,107400,840
"76",76,1596,"Pave",4,"Gable","CBlock","GasA","Y",988,1,0,2,1,"TA",5,0,1,297,0,91000,526
"77",77,8475,"Pave",4,"Gable","CBlock","GasA","Y",952,1,0,2,1,"TA",4,0,1,283,0,135750,952
"78",78,8635,"Pave",5,"Gable","CBlock","GasA","Y",1285,1,0,2,1,"TA",6,0,1,240,0,127000,1072
"79",79,10778,"Pave",4,"Hip","CBlock","GasA","N",1768,2,0,4,2,"TA",8,0,0,0,0,136500,1768
"80",80,10440,"Pave",5,"Gable","PConc","GasA","Y",1230,1,1,2,1,"TA",5,0,2,440,0,110000,682
"81",81,13000,"Pave",6,"Gable","CBlock","GasA","Y",2142,2,1,4,1,"Gd",8,1,1,509,0,193500,1182
"82",82,4500,"Pave",6,"Hip","PConc","GasA","Y",1337,2,0,2,1,"TA",5,0,2,405,0,153500,1337
"83",83,10206,"Pave",8,"Gable","PConc","GasA","Y",1563,2,0,3,1,"Gd",6,1,3,758,0,245000,1563
"84",84,8892,"Pave",5,"Gable","CBlock","GasA","Y",1065,1,1,3,1,"TA",6,0,2,461,0,126500,1065
"85",85,8530,"Pave",7,"Gable","PConc","GasA","Y",1474,2,1,3,1,"TA",7,1,2,400,0,168500,804
"86",86,16059,"Pave",8,"Hip","CBlock","GasA","Y",2417,2,1,4,1,"Gd",9,1,2,462,0,260000,1301
"88",88,3951,"Pave",6,"Gable","PConc","GasA","Y",1224,2,1,2,1,"Gd",4,0,2,528,0,164500,612
"91",91,7200,"Pave",4,"Gable","Slab","GasA","Y",1040,1,0,2,1,"TA",4,0,2,420,0,109900,1040
"94",94,7200,"Pave",6,"Hip","BrkTil","GasW","N",2291,2,0,4,2,"TA",9,1,2,506,0,133900,1260
"95",95,9337,"Pave",6,"Gable","PConc","GasA","Y",1786,2,1,3,1,"Gd",7,0,2,684,0,204750,905
"96",96,9765,"Pave",6,"Gable","PConc","GasA","Y",1470,2,1,3,1,"TA",6,1,2,420,0,185000,680
"97",97,10264,"Pave",7,"Gable","PConc","GasA","Y",1588,2,0,3,1,"Gd",6,0,2,472,0,214000,1588
"98",98,10921,"Pave",4,"Hip","CBlock","GasA","Y",960,1,0,3,1,"TA",6,0,1,432,0,94750,960
"99",99,10625,"Pave",5,"Gable","BrkTil","GasA","N",835,1,0,2,1,"TA",5,0,1,366,0,83000,835
"100",100,9320,"Pave",4,"Gable","CBlock","GasA","Y",1225,1,1,3,1,"TA",6,0,0,0,0,128950,1225
"101",101,10603,"Pave",6,"Gable","PConc","GasA","Y",1610,2,0,3,1,"Gd",6,2,2,480,0,205000,1610
"102",102,9206,"Pave",6,"Gable","CBlock","GasA","Y",1732,2,1,3,1,"Gd",7,1,2,476,0,178000,977
"104",104,10402,"Pave",7,"Gable","PConc","GasA","Y",1226,2,0,3,1,"Gd",6,0,3,740,0,198900,1226
"105",105,7758,"Pave",7,"Gable","PConc","GasA","Y",1818,1,1,4,1,"TA",7,2,1,240,0,169500,1226
"106",106,9375,"Pave",8,"Hip","PConc","GasA","Y",1992,2,1,3,1,"Gd",9,1,2,648,0,250000,1053
"107",107,10800,"Pave",4,"Mansard","BrkTil","GasA","Y",1047,1,0,2,1,"TA",6,0,1,273,0,100000,1047
"109",109,8500,"Pave",5,"Gable","CBlock","GasW","N",1517,2,0,3,1,"Fa",7,0,0,0,0,115000,997
"110",110,11751,"Pave",6,"Hip","CBlock","GasA","Y",1844,2,0,3,1,"TA",7,1,2,546,0,190000,1844
"111",111,9525,"Pave",6,"Gable","CBlock","GasA","Y",1855,2,0,4,1,"TA",7,0,1,325,0,136900,1216
"113",113,9965,"Pave",7,"Gable","PConc","GasA","Y",2696,2,1,4,1,"Ex",10,1,3,792,0,383970,1282
"114",114,21000,"Pave",6,"Hip","CBlock","GasA","Y",2259,2,0,3,1,"Gd",7,2,2,450,0,217000,2259
"115",115,7259,"Pave",6,"Gambrel","CBlock","GasA","Y",2320,2,1,3,1,"Gd",9,1,1,180,0,259500,1436
"116",116,3230,"Pave",6,"Gable","PConc","GasA","Y",1458,2,1,2,1,"TA",5,1,2,440,0,176000,729
"117",117,11616,"Pave",5,"Gable","CBlock","GasA","Y",1092,1,0,3,1,"TA",6,1,1,288,0,139000,1092
"118",118,8536,"Pave",5,"Gable","PConc","GasA","Y",1125,1,1,2,1,"TA",5,0,2,430,0,155000,1125
"119",119,12376,"Pave",7,"Hip","PConc","GasA","Y",3222,3,0,5,1,"Gd",11,2,3,594,0,320000,1699
"120",120,8461,"Pave",6,"Gable","PConc","GasA","Y",1456,2,1,3,1,"Gd",8,1,2,390,0,163990,728
"121",121,21453,"Pave",6,"Flat","CBlock","GasA","Y",988,1,0,1,1,"TA",4,2,2,540,0,180000,988
"122",122,6060,"Pave",4,"Gable","PConc","GasA","Y",1123,1,0,3,1,"TA",4,0,1,264,0,100000,772
"123",123,9464,"Pave",6,"Hip","CBlock","GasA","Y",1080,1,0,3,1,"TA",5,0,1,288,0,136000,1080
"124",124,7892,"Pave",6,"Gable","PConc","GasA","Y",1199,2,0,2,1,"Gd",5,0,2,530,0,153900,1199
"125",125,17043,"Pave",6,"Gable","CBlock","GasA","Y",1586,2,0,3,1,"TA",7,1,2,435,0,181000,1586
"126",126,6780,"Pave",6,"Gable","CBlock","GasA","N",754,1,0,2,1,"TA",5,0,0,0,0,84500,520
"127",127,4928,"Pave",6,"Gable","CBlock","GasA","Y",958,2,0,2,1,"TA",5,1,2,440,0,128000,958
"128",128,4388,"Pave",5,"Gable","BrkTil","GasA","Y",840,1,0,3,1,"TA",5,1,0,0,0,87000,840
"129",129,7590,"Pave",6,"Gable","CBlock","GasA","Y",1348,1,1,3,1,"TA",6,1,2,453,0,155000,660
"131",131,14200,"Pave",7,"Gable","CBlock","GasA","Y",2157,2,1,4,1,"Gd",8,2,2,487,0,226000,1216
"133",133,7388,"Pave",5,"Gable","CBlock","GasA","Y",1327,1,0,3,1,"Gd",7,0,2,624,0,150750,1327
"134",134,6853,"Pave",8,"Gable","PConc","GasA","Y",1296,2,0,2,1,"Gd",6,0,2,471,0,220000,1296
"135",135,10335,"Pave",5,"Gable","CBlock","GasA","Y",1721,2,1,3,1,"TA",7,1,2,440,0,180000,1721
"136",136,10400,"Pave",7,"Hip","PConc","GasA","Y",1682,2,0,3,1,"TA",7,1,2,530,0,174000,1682
"137",137,10355,"Pave",5,"Gable","CBlock","GasA","Y",1214,2,0,3,1,"TA",5,1,1,318,0,143000,1214
"138",138,11070,"Pave",7,"Gable","CBlock","GasA","Y",1959,3,0,5,2,"TA",9,0,3,766,0,171000,1959
"139",139,9066,"Pave",8,"Gable","PConc","GasA","Y",1852,2,1,3,1,"Gd",7,2,3,660,0,230000,1004
"140",140,15426,"Pave",6,"Gable","PConc","GasA","Y",1764,2,1,3,1,"Gd",7,0,2,470,0,231500,928
"141",141,10500,"Pave",4,"Gable","CBlock","GasA","Y",864,1,0,3,1,"TA",5,1,0,0,0,115000,864
"143",143,8520,"Pave",5,"Gable","CBlock","GasA","Y",1385,2,0,4,1,"TA",6,0,2,720,0,166000,910
"144",144,10335,"Pave",7,"Gable","PConc","GasA","Y",1501,2,0,3,1,"Gd",6,0,2,577,0,204000,1501
"145",145,9100,"Pave",5,"Gable","CBlock","GasA","Y",1728,2,0,6,2,"TA",10,0,2,504,0,125000,1728
"146",146,2522,"Pave",6,"Gable","PConc","GasA","Y",1709,2,0,3,1,"Gd",7,0,2,380,0,130000,970
"147",147,6120,"Pave",5,"Gable","BrkTil","GasA","Y",875,1,0,2,1,"TA",5,0,1,180,0,105000,875
"148",148,9505,"Pave",7,"Gable","PConc","GasA","Y",2035,2,1,3,1,"Gd",8,1,2,434,0,222500,884
"149",149,7500,"Pave",7,"Gable","PConc","GasA","Y",1080,1,0,3,1,"Gd",6,0,0,0,0,141000,1080
"150",150,6240,"Pave",5,"Gable","BrkTil","GasA","Y",1344,1,0,3,1,"TA",7,0,1,240,0,115000,896
"151",151,10356,"Pave",5,"Gable","CBlock","GasA","Y",969,1,1,3,1,"TA",5,0,2,440,0,122000,969
"152",152,13891,"Pave",8,"Hip","PConc","GasA","Y",1710,2,0,2,1,"Gd",6,1,3,866,0,372402,1710
"153",153,14803,"Pave",6,"Gable","CBlock","GasA","Y",1993,2,1,4,1,"TA",8,1,2,495,0,190000,1097
"156",156,9600,"Pave",6,"Gable","BrkTil","Grav","N",1096,1,0,2,1,"TA",5,0,0,0,0,79000,572
"159",159,12552,"Pave",7,"Gable","PConc","GasA","Y",1947,2,1,3,1,"Gd",8,1,2,678,0,254900,991
"160",160,19378,"Pave",7,"Gable","PConc","GasA","Y",2462,2,1,4,1,"Gd",9,1,2,576,0,320000,1392
"161",161,11120,"Pave",6,"Gable","PConc","GasA","Y",1232,2,0,3,1,"TA",6,0,2,516,0,162500,1232
"162",162,13688,"Pave",9,"Gable","PConc","GasA","Y",2668,2,1,3,1,"Ex",10,2,3,726,0,412500,1572
"163",163,12182,"Pave",7,"Gable","PConc","GasA","Y",1541,2,0,3,1,"Gd",7,1,2,532,0,220000,1541
"164",164,5500,"Pave",4,"Gable","CBlock","GasA","Y",882,1,0,1,1,"TA",4,0,0,0,0,103200,882
"165",165,5400,"Pave",6,"Gable","BrkTil","GasA","Y",1616,2,0,3,1,"Gd",5,0,1,216,0,152000,1149
"167",167,10708,"Pave",5,"Hip","CBlock","GasA","Y",1867,1,0,2,1,"TA",7,3,1,303,0,190000,1867
"168",168,10562,"Pave",8,"Gable","PConc","GasA","Y",2161,1,1,3,1,"Ex",8,1,3,789,0,325624,1610
"169",169,8244,"Pave",7,"Gable","PConc","GasA","Y",1720,2,1,3,1,"Gd",7,1,2,440,0,183500,840
"171",171,12358,"Pave",5,"Gable","CBlock","GasA","Y",1382,1,1,2,1,"TA",7,0,2,660,0,128500,854
"172",172,31770,"Pave",6,"Hip","CBlock","GasA","Y",1656,1,0,3,1,"TA",7,2,2,528,0,215000,1656
"173",173,5306,"Pave",7,"Gable","PConc","GasA","Y",1767,2,0,2,1,"Gd",5,1,2,504,0,239000,1064
"174",174,10197,"Pave",6,"Gable","CBlock","GasA","Y",1362,1,1,3,1,"TA",6,1,2,504,0,163000,1362
"176",176,12615,"Pave",6,"Gable","CBlock","GasA","Y",2158,2,0,4,1,"Gd",7,1,2,576,0,243000,2158
"177",177,10029,"Pave",6,"Gable","PConc","GasA","Y",2060,2,1,4,1,"TA",8,1,2,521,0,211000,1164
"178",178,13650,"Pave",5,"Gable","CBlock","GasA","Y",1920,2,0,4,1,"Gd",8,1,2,451,0,172500,1252
"179",179,17423,"Pave",9,"Hip","PConc","GasA","Y",2234,2,0,1,1,"Ex",9,1,3,1166,0,501837,2234
"180",180,8520,"Pave",5,"Gable","CBlock","GasA","Y",968,1,0,2,1,"TA",5,0,2,480,0,100000,968
"182",182,7588,"Pave",7,"Gable","BrkTil","GasA","Y",1802,1,1,4,1,"TA",9,1,1,216,0,200100,901
"183",183,9060,"Pave",5,"Hip","PConc","GasA","Y",1340,1,0,3,1,"TA",7,1,1,252,0,120000,1340
"184",184,11426,"Pave",7,"Gable","PConc","GasA","Y",2082,2,1,3,1,"Gd",6,0,2,484,0,200000,1362
"185",185,7438,"Pave",5,"Gable","PConc","GasA","Y",1252,1,0,3,1,"TA",5,0,2,576,0,127000,936
"186",186,22950,"Pave",10,"Gable","BrkTil","GasA","Y",3608,2,1,4,1,"Ex",12,2,3,840,0,475000,1518
"188",188,10410,"Pave",5,"Gable","CBlock","GasA","Y",1656,2,1,3,1,"TA",8,0,1,180,0,135000,808
"189",189,7018,"Pave",5,"Gable","CBlock","GasA","Y",1224,0,2,2,2,"TA",6,2,2,528,0,153337,1224
"190",190,4923,"Pave",8,"Gable","PConc","GasA","Y",1593,1,1,0,1,"Ex",5,1,2,682,0,286000,1593
"191",191,10570,"Pave",8,"Hip","CBlock","GasA","Y",2727,2,1,3,1,"Gd",10,2,2,440,0,315000,1549
"192",192,7472,"Pave",7,"Gable","CBlock","GasA","Y",1479,1,1,4,1,"Gd",7,0,2,484,0,184000,725
"194",194,2522,"Pave",7,"Gable","PConc","GasA","Y",1709,2,0,3,1,"Gd",7,0,2,380,0,130000,970
"195",195,7180,"Pave",5,"Hip","CBlock","GasA","Y",864,1,0,3,1,"TA",5,0,1,352,0,127000,864
"196",196,2280,"Pave",6,"Gable","CBlock","GasA","Y",1456,2,1,3,1,"TA",7,1,2,440,0,148500,855
"197",197,9416,"Pave",7,"Hip","PConc","GasA","Y",1726,2,0,3,1,"Ex",8,1,3,786,0,311872,1726
"198",198,25419,"Pave",8,"Gable","PConc","GasA","Y",3112,2,0,4,1,"Gd",8,1,2,795,512,235000,1360
"199",199,5520,"Pave",6,"Gable","CBlock","GasA","Y",2229,1,0,5,1,"TA",8,0,0,0,0,104000,929
"200",200,9591,"Pave",8,"Hip","PConc","GasA","Y",1713,2,0,3,1,"Ex",7,1,3,856,0,274900,1713
"201",201,8546,"Pave",4,"Gable","PConc","GasA","Y",1121,2,0,2,1,"TA",5,0,2,440,0,140000,1121
"202",202,10125,"Pave",6,"Gable","CBlock","GasA","Y",1279,2,0,3,1,"TA",6,2,2,473,0,171500,1279
"203",203,7000,"Pave",6,"Gable","BrkTil","GasA","Y",1310,2,0,2,1,"TA",6,0,1,398,0,112000,865
"204",204,4438,"Pave",6,"Gable","PConc","GasA","Y",848,1,0,1,1,"Gd",3,1,2,420,0,149000,848
"205",205,3500,"Pave",5,"Gable","CBlock","GasA","Y",1284,1,1,2,1,"TA",5,0,1,240,0,110000,720
"206",206,11851,"Pave",7,"Gable","PConc","GasA","Y",1442,2,0,3,1,"TA",5,0,2,500,0,180500,1442
"207",207,13673,"Pave",5,"Gable","CBlock","GasA","Y",1696,1,1,3,1,"TA",8,1,1,349,0,143900,1696
"209",209,14364,"Pave",7,"Gable","CBlock","GasA","Y",2062,2,1,3,1,"TA",7,1,2,454,0,277000,1180
"210",210,8250,"Pave",6,"Hip","CBlock","GasA","Y",1092,1,0,3,1,"TA",6,0,2,504,0,145000,1092
"211",211,5604,"Pave",5,"Gable","CBlock","GasA","N",864,1,0,2,1,"TA",5,0,0,0,0,98000,864
"212",212,10420,"Pave",6,"Gable","PConc","GasA","Y",1212,2,0,3,1,"Gd",6,0,2,460,0,186000,1212
"214",214,13568,"Pave",5,"Gable","PConc","GasA","Y",990,1,0,3,1,"TA",5,0,2,576,0,156000,990
"215",215,10900,"Pave",6,"Gable","CBlock","GasA","Y",1392,1,1,3,1,"TA",6,0,1,299,0,161750,689
"216",216,10011,"Pave",5,"Gable","CBlock","GasA","Y",1236,1,0,2,1,"Gd",6,1,1,447,0,134450,1236
"217",217,8450,"Pave",7,"Gable","PConc","GasA","Y",1436,2,0,3,1,"Gd",8,0,2,484,0,210000,1436
"218",218,9906,"Pave",4,"Gable","CBlock","GasA","N",1328,1,0,3,1,"TA",8,0,1,210,0,107000,810
"219",219,15660,"Pave",7,"Gable","CBlock","GasA","Y",1954,1,1,3,1,"Gd",8,2,2,431,0,311500,1137
"222",222,8068,"Pave",6,"Gable","PConc","GasA","Y",2267,2,1,4,1,"Gd",8,1,2,390,0,200000,1010
"223",223,11475,"Pave",6,"Gable","CBlock","GasA","Y",1552,2,1,3,1,"TA",6,1,2,434,0,179900,811
"224",224,10500,"Pave",4,"Gable","CBlock","GasA","Y",864,1,0,2,1,"TA",4,0,2,576,0,97000,864
"226",226,1680,"Pave",5,"Gable","CBlock","GasA","Y",1302,2,1,3,1,"TA",6,0,1,280,0,112000,630
"227",227,9950,"Pave",7,"Gable","PConc","GasA","Y",2520,2,1,4,1,"Gd",9,1,3,721,0,290000,1214
"228",228,1869,"Pave",6,"Gable","CBlock","GasA","Y",987,1,1,2,1,"TA",5,0,1,280,0,106000,483
"229",229,8521,"Pave",5,"Gable","CBlock","GasA","Y",912,1,0,3,1,"TA",5,1,1,336,0,125000,912
"231",231,8760,"Pave",6,"Hip","CBlock","GasA","Y",1194,1,0,3,1,"TA",6,0,1,312,0,148000,1194
"232",232,15138,"Pave",8,"Gable","PConc","GasA","Y",2794,2,1,4,1,"Ex",9,1,3,810,0,403000,1490
"234",234,10650,"Pave",5,"Gable","CBlock","GasA","Y",894,1,0,3,1,"TA",5,0,1,308,0,128200,894
"235",235,7851,"Pave",6,"Gable","PConc","GasA","Y",1960,2,1,4,1,"Gd",8,2,2,440,0,216500,860
"236",236,1680,"Pave",6,"Gable","CBlock","GasA","Y",987,1,1,2,1,"TA",5,0,1,264,0,89500,483
"237",237,8773,"Pave",7,"Gable","PConc","GasA","Y",1414,2,0,3,1,"Gd",6,0,2,494,0,185500,1414
"238",238,9453,"Pave",7,"Gable","PConc","GasA","Y",1744,2,1,3,1,"Gd",7,0,2,457,0,194500,1014
"239",239,12030,"Pave",8,"Hip","PConc","GasA","Y",1694,2,0,3,1,"Gd",7,0,3,818,0,318000,1694
"241",241,9000,"Pave",8,"Gable","PConc","GasA","Y",1566,2,0,3,1,"Gd",7,0,2,750,0,262500,1566
"242",242,3880,"Pave",5,"Gable","CBlock","GasA","Y",866,1,0,2,1,"Gd",4,0,0,0,0,110500,866
"243",243,5000,"Pave",5,"Gable","BrkTil","GasA","N",1440,1,0,3,1,"TA",6,0,1,352,0,79000,889
"245",245,8880,"Pave",7,"Gable","PConc","GasA","Y",2110,2,1,3,1,"Gd",8,2,2,463,0,205000,1222
"247",247,9142,"Pave",6,"Gable","Stone","GasA","N",1928,2,0,4,2,"Fa",9,0,1,440,0,137000,908
"248",248,11310,"Pave",6,"Hip","CBlock","GasA","Y",1375,1,0,2,1,"TA",5,1,2,451,0,140000,1375
"249",249,11317,"Pave",7,"Gable","PConc","GasA","Y",1668,2,1,3,1,"Gd",8,0,2,500,0,180000,840
"250",250,159000,"Pave",6,"Gable","CBlock","GasA","Y",2144,2,0,4,1,"Gd",7,2,2,389,0,277000,1444
"251",251,5350,"Pave",3,"Gable","CBlock","GasA","Y",1306,1,0,3,1,"Fa",6,0,0,0,0,76500,1306
"252",252,4750,"Pave",8,"Hip","PConc","GasA","Y",1625,2,0,2,1,"Gd",5,1,2,538,0,235000,1625
"253",253,8366,"Pave",6,"Gable","PConc","GasA","Y",1640,2,1,3,1,"Gd",6,0,2,520,0,173000,798
"254",254,9350,"Pave",6,"Hip","CBlock","GasA","Y",1302,2,0,3,1,"Gd",7,0,1,309,0,158000,1302
"255",255,8400,"Pave",5,"Gable","CBlock","GasA","Y",1314,1,0,3,1,"TA",5,0,1,294,0,145000,1314
"257",257,8791,"Pave",6,"Gable","PConc","GasA","Y",1728,2,1,3,1,"Gd",7,0,2,673,0,207500,864
"258",258,8814,"Pave",7,"Gable","PConc","GasA","Y",1604,2,1,3,1,"Gd",8,1,2,660,0,220000,1604
"259",259,12435,"Pave",7,"Gable","PConc","GasA","Y",1792,2,1,3,1,"Gd",7,1,2,564,0,231500,963
"260",260,12702,"Pave",5,"Gable","PConc","GasA","Y",882,1,0,2,1,"TA",4,0,1,308,0,97000,882
"262",262,9588,"Pave",8,"Gable","PConc","GasA","Y",2574,2,1,3,1,"Ex",10,1,3,868,0,276000,1482
"263",263,8471,"Pave",6,"Gable","CBlock","GasA","Y",1212,1,0,3,1,"TA",6,1,2,492,0,151000,1212
"264",264,5500,"Pave",5,"Gable","BrkTil","GasA","Y",1316,1,0,3,1,"TA",6,0,2,484,0,130000,926
"265",265,5232,"Pave",5,"Gable","BrkTil","GasA","N",764,1,0,2,1,"TA",4,0,2,504,0,73000,764
