timestamp (in seconds),activityID,heartrate during activity (bpm),normal HR (bpm),subID,Body Temperature (Celsius),Acceleration (x axis) in m/s2,Acceleration (y axis) in m/s2,Acceleration (z axis) in m/s2,Gyroscope (x axis) in rad/s,Gyroscope (y axis) in rad/s,Gyroscope (z axis) in rad/s,Magnetometer (x axis) in μT,Magnetometer (y axis) in μT,Magnetometer (z axis) in μT
43.0,0,121.0,86,104,32.3125,-10.0183,2.0687,0.4603600000000001,1.86348,-0.5861390000000001,0.611462,38.0119,-24.7225,0.23969
44.0,0,121.0,86,104,32.3125,-4.01542,2.9689,4.549930000000002,-1.05593,-1.34866,-0.354563,56.4411,-24.2409,-34.8395
45.0,0,121.0,86,104,32.3125,-4.23718,-6.74418,0.153325,5.64766,-0.408193,0.909789,39.6435,29.534,-15.7093
46.0,0,121.0,86,104,32.3125,-12.7482,2.68483,3.3039400000000003,-1.78729,0.328333,-0.902417,17.5051,22.0186,-30.973000000000006
47.0,0,121.0,86,104,32.3125,-9.03492,2.73446,3.62881,-0.609162,0.8604719999999999,-0.138704,32.5198,6.0967,-2.4295
48.0,0,121.0,86,104,32.375,-8.48873,1.56064,4.37221,1.50519,0.444134,-2.22188,34.1796,-13.7252,-5.19975
49.0,0,121.0,86,104,32.375,-9.42524,3.88876,0.8479770000000001,-0.973345,-0.0606302,1.09858,24.6721,-7.50086,7.11757
50.0,0,121.0,86,104,32.375,-7.6695600000000015,5.76475,4.25484,-0.87254,0.743272,0.563495,24.1721,-79.4715,-24.0719
51.0,0,121.0,86,104,32.375,-6.76328,3.32398,3.66085,0.405816,0.578036,-0.173003,52.6612,-18.8086,-7.69977
52.0,0,121.0,86,104,32.375,-10.1333,-0.5244989999999999,3.12301,1.51506,0.807739,-2.86429,54.0755,-13.2996,-7.47358
53.0,0,121.0,86,104,32.375,-11.9164,5.98198,-0.620433,-2.08564,1.99291,1.27987,39.0013,-37.9348,-7.42488
54.0,0,121.0,86,104,32.375,-11.6203,4.59513,-2.6896400000000003,-2.39449,-0.668026,-0.0509291,37.2277,20.9699,-24.9699
55.0,0,121.0,86,104,32.375,-12.9368,-0.296985,0.6555479999999999,0.432923,-0.467567,2.20012,17.783,33.178000000000004,-22.9048
56.0,0,121.0,86,104,32.375,-9.90717,0.163867,-0.301297,-0.0187313,0.19499,-0.86524,23.8007,30.2497,-24.4741
57.0,0,121.0,86,104,32.375,-7.8639899999999985,2.09001,0.492557,-0.776189,-0.438762,0.819054,50.5187,1.1618,-6.89792
58.0,0,121.0,86,104,32.375,-8.557039999999999,3.2954,3.13374,-0.0438035,0.10471,-0.428122,52.0134,-1.27342,-3.34291
59.0,0,121.0,86,104,32.375,-8.0549,3.94793,4.40914,-0.16178499999999998,-0.1667,0.230053,51.5179,-8.94272,-5.92004
60.0,0,121.0,86,104,32.375,-6.44129,4.85125,5.00758,0.0575653,0.0101546,0.0456042,47.6058,-20.2777,-10.0428
61.0,0,121.0,86,104,32.375,-6.39737,5.72356,5.0052900000000005,-0.299415,-0.056401,0.10397,48.2424,-22.2962,-8.588289999999999
62.0,0,121.0,86,104,32.4375,-7.87667,4.701230000000002,3.94742,-0.133556,0.104698,-0.131822,51.6361,-10.4361,-2.76165
63.0,0,121.0,86,104,32.4375,-8.27754,3.71371,3.4829,-0.00114853,0.006093100000000001,-0.00292283,51.872,-9.57988,-2.6360900000000003
64.0,0,121.0,86,104,32.4375,-8.27862,3.94067,3.4051400000000003,0.0450262,-0.001051,-0.0184267,52.4665,-8.49377,-1.20033
65.0,0,121.0,86,104,32.4375,-8.77442,3.2995,3.3998800000000005,-0.117761,0.0692306,-0.034160400000000014,51.916,-5.36108,0.09411
66.0,0,121.0,86,104,32.4375,-8.5131,3.41027,3.28796,0.07019919999999999,0.00156402,-0.0305475,52.5287,-4.4013800000000005,-0.437879
67.0,0,121.0,86,104,32.4375,-8.51791,3.29544,3.17281,-0.0031993000000000004,0.0204955,0.00503571,52.0291,-4.37453,-0.174566
68.0,0,121.0,86,104,32.4375,-8.62673,3.3732,3.2863800000000003,-0.0111064,0.000772373,-0.0374841,51.6522,-4.23013,0.08778580000000001
69.0,0,121.0,86,104,32.4375,-8.70953,3.2962300000000004,3.09296,-0.00895769,0.0110887,-0.0287671,51.8837,-3.62129,1.1334799999999998
70.0,0,121.0,86,104,32.4375,-8.707930000000001,3.3345,3.13135,0.00716086,-0.0383063,-0.0109324,52.2745,-4.13943,-0.176489
71.0,0,121.0,86,104,32.4375,-8.58734,3.22182,3.36446,0.00717305,0.00540605,-0.00283632,52.0134,-3.13281,-0.313297
72.0,0,121.0,86,104,32.4375,-8.44234,3.48422,3.13482,0.00798718,0.0284378,-0.0171229,52.2687,-3.14698,-1.10112
73.0,0,121.0,86,104,,,,,,,,,,
74.0,0,121.0,86,104,32.4375,-8.67228,3.22006,3.09378,-0.00859965,0.0389761,0.0114109,51.6296,-2.2437400000000003,-0.449143
75.0,0,121.0,86,104,32.5,-8.63823,3.06734,3.01783,-0.00865011,-0.0443106,-0.00631912,51.3884,-3.34711,0.476661
76.0,1,121.0,86,104,32.4375,-8.52593,3.2934300000000003,2.94177,0.0376834,0.0284159,-0.00670863,51.5014,-2.36055,0.207985
77.0,1,121.0,86,104,32.4375,-8.56265,3.25612,2.9798400000000003,-0.00389639,0.0110866,-0.0320434,51.7556,-2.12664,-0.8438049999999999
78.0,1,121.0,86,104,32.5,-8.7843,2.84255,3.2088400000000004,-0.235346,-0.0107793,-0.0399501,51.3736,-1.60968,-0.583702
79.0,1,121.0,86,104,32.5,-8.78163,2.84322,3.28585,-0.0963495,0.032693900000000005,-0.0384026,51.7557,-2.6225,-0.0534055
80.0,1,121.0,86,104,32.5,-8.90141,2.50164,3.16975,0.13864400000000002,0.0194634,-0.0917456,51.4907,-1.24347,-0.323696
81.0,1,121.0,86,104,32.5,-6.7164,1.4116,-2.22057,0.4553930000000001,0.818405,0.0184,43.177,7.77223,13.2866
82.0,1,121.0,86,104,32.5,-10.4692,1.41923,-0.429414,0.199757,-1.64176,1.23583,19.5016,35.8253,-9.80118
83.0,1,121.0,86,104,32.5,-6.4063300000000005,0.448498,9.10261,-0.120559,-0.528465,-0.113655,13.2599,30.8099,-27.9994
84.0,1,121.0,86,104,32.5,5.96713,-10.2691,1.04933,-0.12701700000000002,0.209984,3.3402300000000005,14.2972,31.9907,-35.0952
85.0,1,121.0,86,104,32.5,1.16723,-2.56975,9.18775,-0.106009,0.47213,-0.228229,37.3734,3.2038900000000003,-43.235
86.0,1,121.0,86,104,32.5,0.40684,-4.85695,7.336689999999999,0.25252800000000003,0.756568,0.208448,38.595,11.8277,-39.8777
87.0,1,121.0,86,104,32.5,0.280063,-2.02757,9.63448,0.144822,0.184381,-0.0295204,39.6302,9.04209,-40.2566
88.0,1,121.0,86,104,32.5,0.0860377,-2.17888,9.51663,0.046690800000000005,-0.057892499999999986,-0.0185688,39.3949,8.30981,-40.6454
89.0,1,121.0,86,104,32.5,0.00752157,-2.40626,9.47773,-0.00348618,-0.015691,-0.0329025,39.1368,8.4483,-39.7271
90.0,1,121.0,86,104,32.5,0.158142,-2.29395,9.44112,0.00260333,-0.015718700000000002,-0.00775594,39.5149,8.05583,-39.7254
91.0,1,121.0,86,104,32.5,-0.0141316,-2.82829,8.940010000000003,0.0433135,-0.035514300000000006,0.00634188,40.1217,8.64446,-38.9429
92.0,1,121.0,86,104,32.5,0.0750817,-2.59822,9.28695,-0.0282438,0.00274385,-0.0159188,39.8706,9.40182,-39.8656
93.0,1,121.0,86,104,32.5,-0.039624,-2.59768,9.24675,0.019596,0.0179989,-0.00895233,39.6213,9.53913,-39.9971
94.0,1,121.0,86,104,32.5,0.278993,-1.98997,9.59585,-0.00748698,-0.06542780000000001,-0.0445875,40.2538,8.38885,-39.4665
95.0,1,121.0,86,104,32.5625,0.08737869999999999,-2.3679,9.59426,-0.0475592,-0.00845499,0.0745476,39.6225,9.04313,-39.338
96.0,1,121.0,86,104,32.5,0.154398,-2.25702,9.32548,-0.013922899999999998,0.0103512,0.00791056,39.762,7.9188100000000015,-39.3314
97.0,1,121.0,86,104,32.5625,0.0112625,-2.2538400000000003,9.55425,0.178144,-0.042597,-0.0330701,40.5119,8.25036,-40.3848
98.0,1,121.0,86,104,32.5625,-0.113599,-2.55882,9.28399,0.0349765,-0.0192037,-0.00326765,39.8869,8.03606,-39.5948
99.0,1,121.0,86,104,32.5625,-0.111192,-2.59609,9.36113,-0.0340293,0.0134768,0.0127625,40.0077,8.773660000000001,-40.387
100.0,1,121.0,86,104,32.5625,-0.0704612,-2.55777,9.43859,-0.0228629,0.0331396,0.021063400000000003,39.8757,8.78133,-39.4681
101.0,1,121.0,86,104,32.5625,0.00548691,-3.51484,8.557739999999999,-0.168569,-0.0514432,0.0490182,40.7008,11.84,-39.0946
102.0,1,121.0,86,104,32.5625,0.0407861,-3.43024,9.55866,0.0152794,0.15219100000000002,-0.0523058,38.4244,14.1958,-38.1857
103.0,1,121.0,86,104,32.5625,-1.00002,-4.30834,8.04502,0.298504,-0.0298053,-0.07035830000000001,40.42,12.8492,-36.8692
104.0,1,121.0,86,104,32.5625,0.591579,-3.24928,9.06596,-0.775571,-0.117893,0.209407,38.9274,13.9206,-38.4475
105.0,1,121.0,86,104,32.5625,6.09636,-10.5408,0.474869,0.13426400000000002,0.8023560000000001,0.4858,7.79971,42.0291,-17.4266
106.0,1,121.0,86,104,32.5625,2.88449,-2.0301400000000003,7.40275,1.01314,0.913191,0.965449,25.7872,22.3142,-41.0964
107.0,1,121.0,86,104,32.5625,3.63686,0.633768,8.94453,0.0349111,-0.0540154,-0.0520214,26.3421,4.16165,-48.2052
108.0,1,121.0,86,104,32.5625,4.04426,0.401245,8.758980000000001,-0.0639123,-0.0102913,-0.0109562,24.2268,4.7705,-48.8608
109.0,1,121.0,86,104,32.5625,3.90038,1.37915,7.67588,-0.105389,0.0980833,0.0630264,24.9534,5.84894,-48.3439
110.0,1,121.0,86,104,32.5625,4.0469300000000015,0.591277,8.79686,0.043487800000000014,-0.017656099999999997,-0.013133700000000002,24.5908,5.49556,-48.9972
111.0,1,121.0,86,104,32.5625,4.1587,0.362766,8.79931,-0.032068900000000004,-0.032223900000000014,-0.00790599,23.3328,6.30765,-48.4746
112.0,1,121.0,86,104,32.5625,4.1174300000000015,0.248569,8.7221,-0.00389866,-0.0119072,-0.0169094,23.3388,6.1828699999999985,-48.9988
113.0,1,121.0,86,104,32.5625,4.28731,0.441459,9.22433,-0.124318,-0.0123079,0.014928899999999997,23.08,6.9412699999999985,-49.0029
114.0,1,121.0,86,104,32.5625,4.1437300000000015,-0.0575841,8.45412,-0.0650265,-0.0198194,0.00794036,23.1725,9.04624,-48.6221
115.0,1,121.0,86,104,32.5625,4.7300900000000015,0.0565524,9.001339999999997,0.129675,-0.055844500000000005,-0.087609,22.2078,7.35985,-49.3973
116.0,1,121.0,86,104,32.5625,4.34123,0.0188478,8.68774,-0.0324782,-0.041387,0.0536271,21.8275,7.504689999999999,-48.7413
117.0,1,121.0,86,104,32.5625,4.86386,0.240385,8.4639,-0.0487028,-0.0008981439999999998,0.0463663,20.7122,7.43995,-49.0011
118.0,1,121.0,86,104,32.625,4.56209,-0.0601232,8.53737,0.00532537,0.0230461,0.0311329,21.2179,7.28833,-49.7886
119.0,1,121.0,86,104,32.5625,4.48891,0.281913,8.53512,-0.000946693,0.164757,-0.0412493,21.9518,7.74598,-49.1367
120.0,1,121.0,86,104,32.5625,4.6398,0.05344630000000001,8.57664,-0.0537754,-0.0959263,0.000616845,21.7171,6.889660000000001,-49.3935
121.0,1,121.0,86,104,32.625,4.63659,0.166258,8.46074,-0.020985,-0.0175872,-0.0298499,20.8403,7.5567600000000015,-49.6582
122.0,1,121.0,86,104,32.625,4.82714,0.203073,8.50196,-0.0955448,0.00153082,-0.016836900000000002,21.1065,6.17759,-49.5192
123.0,1,121.0,86,104,32.625,4.67251,0.089752,8.42305,-0.033593300000000006,0.0203417,-0.0112426,20.4684,7.3286,-49.3936
124.0,1,121.0,86,104,32.625,4.82099,0.277275,8.30918,0.00669317,-0.00899536,-0.00915668,20.8386,7.68095,-49.659
125.0,1,121.0,86,104,32.625,4.59934,-0.136293,8.53818,-0.0044504,-0.00877646,0.00574561,20.5793,8.31545,-49.3998
126.0,1,121.0,86,104,32.625,5.05896,0.164725,8.659510000000001,0.0617626,-0.00805927,-0.130404,20.4668,7.204860000000001,-48.9992
127.0,1,121.0,86,104,32.625,5.05468,0.504501,8.465869999999999,0.00293976,-0.0194105,-0.0204047,20.2242,7.0933600000000006,-49.5229
128.0,1,121.0,86,104,32.625,4.86386,0.240385,8.4639,0.00221256,0.00857149,-0.00614131,19.7262,6.99602,-49.2589
129.0,1,121.0,86,104,32.625,4.74274,0.0878267,8.27016,-0.0236818,-0.00917219,-0.026271,20.1048,6.72744,-49.5205
130.0,1,121.0,86,104,32.625,4.71404,0.241888,8.50014,-0.008924799999999998,-0.0367847,-0.036161300000000014,19.9765,7.354419999999998,-50.0489
131.0,1,121.0,86,104,32.625,4.90004,0.391179,8.38696,-0.0129017,-0.0319484,-0.0101536,19.9877,6.60915,-50.1757
132.0,1,121.0,86,104,32.625,4.82126,0.315214,8.30906,-0.043161800000000014,0.009197,0.0150118,19.7357,6.62287,-49.7816
133.0,1,121.0,86,104,32.625,4.90353,-0.062414,8.58098,0.0176812,0.0106851,-0.0301034,20.0858,7.9696,-49.2655
134.0,1,121.0,86,104,32.625,4.86333,0.353868,8.42502,0.0353972,0.00758882,-0.00239724,19.8471,7.48568,-49.6558
135.0,1,121.0,86,104,32.625,4.82446,0.391763,8.385819999999999,0.00722452,-0.0400259,-0.0126583,19.8561,6.988639999999998,-49.9153
136.0,1,121.0,86,104,32.625,4.82447,0.202402,8.42495,-0.017336900000000002,0.0563938,-0.018222400000000003,19.7289,7.1196199999999985,-49.7846
137.0,1,121.0,86,104,32.625,4.8963,0.238752,8.31044,-0.023561900000000004,-0.00172756,0.000709969,19.9805,6.7340800000000005,-49.5203
138.0,1,121.0,86,104,32.625,4.9324900000000005,0.200185,8.27262,-0.000190142,-0.0394158,-0.0160778,19.7316,7.24321,-50.3102
139.0,1,121.0,86,104,32.625,4.97269,0.162625,8.35033,-0.00701574,-0.0327493,-0.0126093,19.8505,7.237310000000001,-49.6543
140.0,1,121.0,86,104,32.625,4.93677,0.239131,8.38802,0.000257713,0.017930200000000004,0.0008200519999999999,20.1087,6.60296,-49.7822
141.0,1,121.0,86,104,32.625,5.12277,0.388422,8.27484,0.0102795,0.0147627,0.0008486889999999999,19.348,7.636430000000002,-49.6557
142.0,1,121.0,86,104,32.6875,4.97295,0.200564,8.35021,0.0205862,-0.0283698,-0.0229702,19.7339,6.99499,-50.1775
143.0,1,121.0,86,104,32.625,5.00994,0.275816,8.31202,0.0272856,0.00309423,-0.00849746,18.8624,6.79367,-49.6496
144.0,1,121.0,86,104,32.625,4.8963,0.238752,8.31044,0.02456,0.0304339,-0.0160065,19.3653,6.766380000000002,-50.3066
145.0,1,121.0,86,104,32.625,4.9710800000000015,0.313711,8.27282,-0.0194132,-0.00493095,0.00316753,19.6224,6.13218,-50.3033
146.0,1,121.0,86,104,32.6875,5.05014,0.238255,8.38972,0.0143983,-0.0042074,-0.022271,20.1081,6.9749300000000005,-50.3094
147.0,1,121.0,86,104,32.625,4.97509,0.314717,8.38834,0.00835179,-0.027030400000000003,0.00281675,19.3613,7.138789999999998,-50.4401
148.0,1,121.0,86,104,32.6875,5.00593,0.08544860000000001,8.23563,-0.012058200000000002,0.00931454,-0.000454525,19.4874,6.760039999999999,-50.0444
149.0,1,121.0,86,104,32.625,4.93516,0.200856,8.349639999999999,-0.0118646,-0.0106308,0.00391772,19.7322,7.11917,-50.1783
150.0,1,121.0,86,104,32.6875,5.12679,0.200068,8.42949,-0.0249469,-0.0259098,0.00408922,19.7206,7.49262,-49.3931
151.0,1,121.0,86,104,32.625,4.30852,-0.017457900000000002,8.84132,-0.307875,0.124518,0.0294825,20.0796,8.59023,-49.5317
152.0,1,121.0,86,104,32.6875,5.03561,0.509488,9.004389999999997,0.188115,0.032519,-0.0447202,19.2365,6.7736100000000015,-49.7815
153.0,1,121.0,86,104,32.6875,5.1683,1.10965,8.35007,0.100914,-0.0769216,0.134439,19.2632,5.53042,-50.9551
154.0,1,121.0,86,104,32.6875,5.06885,0.432312,8.88968,-0.103271,0.179267,0.0640036,19.8599,7.1120899999999985,-50.5722
155.0,1,121.0,86,104,32.6875,5.23426,0.500694,8.199160000000001,-0.056010800000000006,-0.0513082,-0.0773538,19.3719,6.51757,-50.6988
156.0,1,121.0,86,104,32.6875,5.00726,0.464505,8.19588,-0.0516082,0.0295483,-0.0295638,19.4913,6.635560000000001,-50.3061
157.0,1,121.0,86,104,32.6875,4.855569999999998,0.200433,8.23298,0.0370638,0.015825899999999997,-0.00795875,19.72,7.61666,-49.5251
158.0,1,121.0,86,104,32.6875,5.51162,0.804848,8.51019,-0.00952886,-0.0296821,-0.0509806,19.115,6.65592,-49.9117
159.0,1,121.0,86,104,32.6875,5.00539,0.388291,8.15762,0.0292785,-0.00631038,-0.017131,18.9817,7.1596,-49.6521
160.0,1,121.0,86,104,32.6875,5.05066,0.692855,8.31122,-0.00349376,-0.0444275,-0.0137759,19.2422,6.27701,-49.6472
161.0,1,121.0,86,104,32.6875,5.04799,0.313463,8.31246,0.000610294,-0.0106183,-0.0335208,18.7351,7.42051,-50.3093
162.0,1,121.0,86,104,32.6875,5.1570800000000006,0.463003,8.15964,0.00423639,0.003236,-0.0188211,19.254,5.40771,-49.642
163.0,1,121.0,86,104,32.6875,5.11528,0.462288,8.043560000000001,-0.00372243,0.0357134,-0.0187122,18.7407,6.92391,-50.1751
164.0,1,121.0,86,104,32.6875,5.15975,0.463674,8.23665,0.00370941,0.00962206,0.000596932,18.506,5.81966,-50.0367
165.0,1,121.0,86,104,32.6875,5.011,0.427572,8.31152,-0.00589712,-0.00147667,0.0285235,18.6209,6.4341,-49.9094
166.0,1,121.0,86,104,32.6875,5.08605,0.540471,8.27378,0.0120012,-0.00683166,-0.024893900000000004,18.7519,6.1786400000000015,-50.3018
167.0,1,121.0,86,104,32.6875,5.08471,0.350775,8.2744,0.0211717,-0.0379139,-0.00572314,18.8629,6.91757,-49.9128
168.0,1,121.0,86,104,32.6875,4.88079,0.499966,7.80899,-0.07724919999999999,-0.08502,0.0767017,18.8624,6.79367,-49.6496
169.0,1,121.0,86,104,32.6875,4.47849,-0.440273,8.38345,0.030867,-0.191154,-0.07906239999999999,22.0483,9.23061,-48.2273
170.0,1,121.0,86,104,32.6875,3.1568,1.66293,9.04933,-0.382678,-0.943133,0.0567096,24.2458,3.52835,-49.1158
171.0,1,121.0,86,104,32.6875,4.823930000000002,0.5052449999999999,8.34695,-0.013361,-0.0141458,-0.00122888,20.2475,6.09854,-50.698
172.0,1,121.0,86,104,32.6875,4.8963,0.238752,8.31044,-0.0234435,0.00450197,-0.0458809,19.3737,6.14545,-50.3029
173.0,1,121.0,86,104,32.75,5.01154,0.31409000000000004,8.3504,-0.0270638,-0.037085900000000005,-0.00549079,19.2493,6.15209,-50.3026
174.0,1,121.0,86,104,32.75,5.00833,0.4269020000000001,8.23451,-0.0164102,0.0160489,0.00388402,19.3632,6.51875,-49.6489
175.0,1,121.0,86,104,32.6875,5.23855,0.160918,8.3928,0.0164851,-0.00202934,-0.00546152,19.11,6.78055,-49.5188
176.0,1,121.0,86,104,32.6875,5.15681,0.425063,8.15977,-0.0370612,-0.028198700000000007,-0.010348,19.1166,6.779660000000002,-50.3062
177.0,1,121.0,86,104,32.75,5.08364,0.388379,8.23577,0.0258895,-0.030109,0.00127522,19.6202,6.13247,-50.0408
178.0,1,121.0,86,104,32.6875,5.1233,0.464301,8.27459,-0.00800402,-0.0383231,-0.00193941,19.3659,6.642339999999999,-50.1746
179.0,1,121.0,86,104,32.6875,5.23453,0.349272,8.23816,-0.0404057,0.023706900000000003,-0.00620932,18.5,5.9444300000000005,-49.5125
180.0,1,121.0,86,104,32.75,5.12731,0.465307,8.39011,-0.00246852,0.00811401,-0.0195868,18.6219,6.6818800000000005,-50.4358
181.0,1,121.0,86,104,32.6875,5.08391,0.426318,8.23564,-0.0282091,0.0267177,0.00407433,18.6208,6.68203,-50.3046
182.0,1,121.0,86,104,32.75,5.12464,0.464636,8.3131,-0.00601238,-0.00501835,-0.0384401,19.1201,6.03543,-49.5143
183.0,1,121.0,86,104,32.6875,5.15922,0.387795,8.2369,0.0179702,0.0345494,0.015793,19.0086,5.172619999999998,-49.6401
184.0,1,121.0,86,104,32.75,4.9145699999999986,0.309307,7.7331699999999985,-0.101465,0.08184169999999999,-0.102059,18.5087,5.94325,-50.5623
185.0,1,121.0,86,104,32.75,5.040780000000002,0.235907,8.12018,-0.00496821,-0.0541438,0.0585881,18.9884,6.66285,-49.6491
186.0,1,121.0,86,104,32.75,5.26216,0.422175,7.93043,-0.0383826,-0.00771153,0.035418300000000014,18.2518,6.0816,-49.7753
187.0,1,121.0,86,104,32.75,5.3026300000000015,0.233194,8.047130000000001,0.0227431,0.0125228,0.00261036,17.873,6.59811,-49.9089
188.0,1,121.0,86,104,32.75,5.26056,0.3839010000000001,7.89205,0.0318421,0.0275202,-0.00514264,18.7452,6.675389999999998,-50.3048
189.0,1,121.0,86,104,32.75,5.15842,0.273977,8.23727,0.00457323,0.043468699999999985,0.0142348,18.7469,6.5512,-50.3041
190.0,1,121.0,86,104,32.75,5.2332,0.348937,8.19965,-0.0336621,0.0206227,0.0288743,18.6215,6.31006,-49.7774
191.0,1,121.0,86,104,32.75,5.20182,0.5023270000000001,8.35262,-0.036017,0.0243199,-0.016995,17.8707,7.09427,-50.4368
192.0,1,121.0,86,104,32.75,5.33908,0.232567,8.0092,-0.0110726,-0.00564097,0.00241795,18.0047,6.21862,-50.1693
193.0,1,121.0,86,104,32.75,5.07883,0.273555,8.120619999999999,-0.0180441,0.00202316,0.0117659,18.6225,6.55784,-50.3038
